,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
1995,Horus,BtB2006 - The Dragon Island,medium,8.49,38,2036,01-Jan-2006
1996,Chronicles5,BtB2006 - Forest Palaces,medium,7.86,35,1818,01-Jan-2006
1997,Mikki,BtB2006 - A New Mission for Lara,medium,7.68,39,1666,01-Jan-2006
1998,Hochgiftig,BtB2006 - Forbidden Houses of Ni Leng Hua,medium,8.06,35,1649,01-Jan-2006
1999,Tinka,BtB2006 - Qinghai Artefact,medium,7.31,38,1514,01-Jan-2006
2000,Tony Tomb,BtB2006 - In Xanadu,medium,8.73,37,1678,01-Jan-2006
2001,TC14,BtB2006 - Tears of a Lost Dynasty-Quest of Gold Korea Demo,medium,8.39,37,1829,01-Jan-2006
2002,Anya,BtB2006 - The Quest,medium,4.58,37,1494,01-Jan-2006
2003,Isis,BtB2006 - The House of Kuan-Yin Lo,challenging,9.30,37,2640,01-Jan-2006
2004,illyaine,BtB2006 - The Blue Sun,medium,8.46,36,1804,01-Jan-2006
2005,BaGi,BtB2006 - Heaven's Gate,medium,7.66,37,1616,01-Jan-2006
2006,masha,BtB2006 - The Riddle of Master Lu,medium,8.69,41,1956,01-Jan-2006
2007,staticon,BtB2006 - An Oriental Adventure,medium,7.67,37,1555,01-Jan-2006
2008,Marksdad,BtB2006 - Mallory's Trail,challenging,8.03,37,1660,01-Jan-2006
2009,dennis16,BtB2006 - The Valley of Guizhou,medium,8.30,40,1676,01-Jan-2006
2010,dantheraider,BtB2006 - Gardens of Japan,medium,5.84,36,1579,01-Jan-2006
2011,Aza,BtB2006 - Jin Ra Long,medium,8.22,35,2249,01-Jan-2006
2012,Cloudbusting,Return of the Demigod,,0.93,14,1224,28-Dec-2005
2013,Kat,Quest for the Scion,,7.35,24,1387,27-Dec-2005
2014,Horus,LB Advent Calendar 2005 - Once upon a Time,medium,9.13,38,4434,24-Dec-2005
2015,Gaabr,Under London,easy,7.19,21,1438,24-Dec-2005
2016,Hochgiftig,LB Advent Calendar 2005 - Out into the Snow,medium,6.30,20,1594,22-Dec-2005
2017,masha,LB Advent Calendar 2005 - Playable Title,easy,6.08,9,1699,21-Dec-2005
2018,Momo,LB Advent Calendar 2005 - Searching for Presents,easy,5.45,24,1390,18-Dec-2005
2019,Nick,LB Advent Calendar 2005 - The Week before Christmas,easy,6.11,23,1618,17-Dec-2005
2020,burt_ie,Legacy of the Stars - Part 1,easy,6.70,34,1779,16-Dec-2005
2021,MagPlus,Knights of Terafosia Bonus - The Crash,easy,8.49,22,2071,14-Dec-2005
2022,Sweet,LB Advent Calendar 2005 - Winston in Trouble,medium,6.19,31,1708,13-Dec-2005
2023,Raymond,The Ordeal in the Shadow of Death,very challenging,8.71,81,3023,12-Dec-2005
2024,Koldo,The Lost Temple of Madubu Gorge (Demo),,3.80,23,1341,12-Dec-2005
2025,TC14,The Quest of Gold 4-7 - Great Spirit Levels,challenging,9.02,267,4690,12-Dec-2005
2026,Lumina Artis Coloris,LB Advent Calendar 2005 - The Snow Queen 2 - North Pole,very challenging,7.83,65,2068,12-Dec-2005
2027,Greywolf,Closed Timelike Curves,medium,4.77,44,1626,11-Dec-2005
2028,dantheraider,The Raiders 3 - Tomb of Hourse,medium,5.36,20,1224,11-Dec-2005
2029,masha,LB Advent Calendar 2005 - Magic Castle,challenging,8.53,27,2012,10-Dec-2005
2030,Sheevah,LB Advent Calendar 2005 - Sheevah's Home,medium,8.97,25,3049,08-Dec-2005
2031,uranos1,Night of Shadows,medium,9.08,41,4413,07-Dec-2005
2032,MagPlus,Egyptian Dream - Tutorial,medium,9.36,28,2770,07-Dec-2005
2033,Lumina Artis Coloris,LB Advent Calendar 2005 - Snow Queen - The Village,easy,7.32,35,1829,06-Dec-2005
2034,Tifa Nazah,LB Advent Calendar 2005 - Icecave,challenging,7.33,59,2015,04-Dec-2005
2035,BaGi,LB Advent Calendar 2005 - Candlelight,easy,8.02,19,1629,03-Dec-2005
2036,Alsaraider,Quest of the Graal,,4.98,15,1225,03-Dec-2005
2037,Agnes,LB Advent Calendar 2005 - Swiss Xmas,easy,8.28,38,1951,01-Dec-2005
2038,Daoine Sidhe,The Holy Grail,,9.03,70,2485,29-Nov-2005
2039,Tahir Zia,Tahir's House,,3.23,29,1261,29-Nov-2005
2040,Bojrkraider,The Experiment 3/1 - Under the Moonlight,,9.69,262,5692,29-Nov-2005
2041,mugs,Town of Black Cat Bar,,6.80,33,1943,24-Nov-2005
2042,Tombcool,Purgatory (Demo) - Abandoned Apartment,,5.06,39,1455,21-Nov-2005
2043,Skateboard Kid,Skate or Die,medium,5.36,32,2331,18-Nov-2005
2044,Roli,Tomb Raider Revelations - The Scion,,6.13,32,2638,17-Nov-2005
2045,AleXander81,Back to Venice,medium,7.30,18,1559,17-Nov-2005
2046,Koldo,Ghana,,2.04,24,1334,15-Nov-2005
2047,Laraitaly,Hindenburg 2,medium,8.18,56,2102,08-Nov-2005
2048,Satanoff,Souls of the Fire,,7.08,18,1215,05-Nov-2005
2049,dantheraider,The Raiders 1+2,,4.79,21,1248,05-Nov-2005
2050,Miro,Siberia,,6.73,34,1397,05-Nov-2005
2051,Hofer,Tomb of Khmun,easy,5.64,20,1225,05-Nov-2005
2052,Miro,Test Level,,5.18,22,1319,02-Nov-2005
2053,Raider X,Jungle Ruins 3,,9.77,120,5869,25-Oct-2005
2054,EssGee,Jungle Ruins 3,,9.77,120,5869,25-Oct-2005
2055,GMac,Jungle Ruins 3,,9.77,120,5869,25-Oct-2005
2056,Nick,The Theatre of Venice,medium,8.42,46,2404,21-Oct-2005
2057,Sethes,Sethes Masterpiece (L'ouvrage d Sethes),,2.60,17,1168,20-Oct-2005
2058,Lukasz Croft,Clinic of Death,,6.56,30,1662,19-Oct-2005
2059,MontyTRC,The Shadow of the Templars (Demo),,6.86,29,1340,17-Oct-2005
2060,Hofer,Cat's Eyes,easy,5.20,12,1240,16-Oct-2005
2061,Tom Foolery,Lara in the Bronx,easy,0.30,13,1665,13-Oct-2005
2062,Jamie White,Underbelly,,6.52,51,1643,13-Oct-2005
2063,dennis16,Crystals of Amun 1+2,,7.81,50,1733,13-Oct-2005
2064,Ernie,Blue Spirit,very challenging,8.67,45,2123,10-Oct-2005
2065,Lukasz Croft,Area in Arizona,,5.98,26,1641,08-Oct-2005
2066,Rezaffiro,The Door for the Paradise 3 - The Door for the Hell,,7.41,41,1519,06-Oct-2005
2067,Svein,Mummy Kings,,5.89,17,1144,02-Oct-2005
2068,Boris Samoilenko,Lara Croft Returns - Episode 1: The Complex of Sofia and Natla,,8.25,222,5450,21-Sep-2005
2069,Oxy,Mystery Land,,9.23,69,3325,11-Sep-2005
2070,Ronald Ferreira Barbosa,Show Light Base,medium,5.04,30,1821,31-Aug-2005
2071,gail854,Fountain Park,,7.16,21,1269,28-Aug-2005
2072,Piega,Sanctuary of Souls (Demo),easy,9.44,17,2476,22-Aug-2005
2073,Flo,The Ancient Artefacts 1 - The Sacred Hall,,8.03,36,1480,20-Aug-2005
2074,Barry,Search for the Monastery 1 - Monastery Ruins,,7.49,16,1182,20-Aug-2005
2075,Hochgiftig,Be My Valentine,,8.13,64,2412,19-Aug-2005
2076,austriawing,The Temple of Water,,6.55,20,1285,13-Aug-2005
2077,staticon,Lara's Dream 9,,8.70,91,2706,13-Aug-2005
2078,Pablo Fuentes,Brazilia,,5.82,36,1424,11-Aug-2005
2079,Naphal,Stone of Immortality,,8.23,40,1822,31-Jul-2005
2080,ansi,Madhouse,medium,8.37,40,1769,31-Jul-2005
2081,dantheraider,The Trail of the Unknown - The Temple (Demo),,2.92,13,1089,26-Jul-2005
2082,Tony Tomb,Passage to Mu 3 - Arrival,medium,9.48,111,3425,23-Jul-2005
2083,Agnes,Sudeki,very challenging,9.26,93,3252,22-Jul-2005
2084,Piper,Cambodia's Catacombs,,5.11,15,1204,20-Jul-2005
2085,Clara,Ice Age (Eiszeit),,7.58,33,2552,19-Jul-2005
2086,Pemon,Base Station,,7.50,38,1864,18-Jul-2005
2087,Lukasz Croft,Slaying in London,,5.54,43,1839,15-Jul-2005
2088,Isis,The Wrath of Thor,challenging,9.65,73,4001,12-Jul-2005
2089,Rezaffiro,The Door for the Paradise 2 - The Purgatory,,7.31,61,1695,11-Jul-2005
2090,Loch,Dreaming for a Revelation,,8.66,45,2300,10-Jul-2005
2091,Roli,The Crystal of Life,,5.13,21,1518,04-Jul-2005
2092,dantheraider,Catacombs of Alexander,,3.25,13,1125,01-Jul-2005
2093,Crane,Sophia's Obelisk,,6.14,13,1403,29-Jun-2005
2094,Horus,Reign of Chaos - Natla's Hideout,very challenging,9.69,268,6818,27-Jun-2005
2095,karlo002,Reign of Chaos - Venice,,8.54,268,5095,27-Jun-2005
2096,illyaine,Reign of Chaos - China,,9.07,268,5791,27-Jun-2005
2097,Agnes,Reign of Chaos - Mexico,,8.40,268,4854,27-Jun-2005
2098,Horus,Reign of Chaos - Cordoba,challenging,9.43,268,4732,27-Jun-2005
2099,Agnes,Reign of Chaos - Airport,,8.28,268,4983,27-Jun-2005
2100,Xspace,The Temple of Jumping,,2.59,19,1386,26-Jun-2005
2101,Lara4ever,Mystic Desert,,5.32,15,1120,22-Jun-2005
2102,Miss Kroft,Alexander's Tomb II,,9.13,83,4752,21-Jun-2005
2103,dantheraider,The Mystery of the Catacombs,,2.81,13,1193,17-Jun-2005
2104,EssGee,Evil knows no Boundaries,challenging,9.41,31,2917,17-Jun-2005
2105,Steffen,Pride Park,,6.92,16,1155,17-Jun-2005
2106,Rezaffiro,The Door for the Paradise,,6.74,55,1601,09-Jun-2005
2107,Lukasz Croft,Return to Scotland,,5.42,21,1386,09-Jun-2005
2108,David Rukawa,Lara Croft Regresa Gold: IS Tech Tower,,5.04,24,1973,01-Jun-2005
2109,Raider Croft,Lara Croft Regresa Gold: IS Tech Tower,,5.04,24,1973,01-Jun-2005
2110,Dnf Productions,Costa Rica Bonus Level - Motel Savahna,,7.29,24,1845,01-Jun-2005
2111,PaoloM,Stress Test Level,,8.04,15,1605,25-May-2005
2112,The Vagrant,Halcyon Lodge,medium,7.72,14,4386,21-May-2005
2113,Seifer Zero,Twin Crystals 2 - Part 1,,8.32,84,2799,21-May-2005
2114,Xspace,Battle Training,,2.25,21,1245,11-May-2005
2115,Lukasz Croft,Chunnel,,6.13,17,1367,11-May-2005
2116,Sakul,Deck 16,medium,7.67,31,1532,08-May-2005
2117,Momo,The Mystery of Egypt Temple Part 1,medium,5.93,29,1343,05-May-2005
2118,TRWad,Outfit Competition Results,,2.46,19,1387,05-May-2005
2119,Raider X,Jungle Ruins 2,,9.32,100,4025,22-Apr-2005
2120,GMac,Jungle Ruins 2,,9.32,100,4025,22-Apr-2005
2121,Josep Borrut,A Witch shall be born,challenging,9.48,51,3265,21-Apr-2005
2122,Martins,Uranium Death,,4.78,24,1274,20-Apr-2005
2123,Lukasz Croft,Las Vegas,,3.79,25,1684,20-Apr-2005
2124,Titak,Underworld UB3 - The Plain of Jars,,9.86,91,6764,19-Apr-2005
2125,Richard Lawther,Underworld UB3 - The Plain of Jars,,9.86,91,6764,19-Apr-2005
2126,StormChaser,Genesis Project,medium,7.58,13,1481,16-Apr-2005
2127,Dhama,Retro AoD - The Dig (Demo),,8.49,18,1851,16-Apr-2005
2128,Martins,Ninja Academy,,3.83,18,1150,13-Apr-2005
2129,Baddy,ASL Madstreet,medium,6.71,19,1568,11-Apr-2005
2130,Vok,Lara's Raiding Again,,7.85,24,1348,07-Apr-2005
2131,Dnf Productions,Costa Rica - Episode Three (Refreshed),medium,9.68,275,6115,04-Apr-2005
2132,Schlaefer,Lara on Ice - The Caves,,1.91,17,1176,03-Apr-2005
2133,TC14,The Quest of Gold 3 - Indian Sanctuary,medium,8.33,267,4418,02-Apr-2005
2134,TimJ,Star Raider,challenging,7.52,83,2450,01-Apr-2005
2135,BaGi,Hotel,medium,8.55,74,2634,01-Apr-2005
2136,Ruediger,Where the Sea Demons dwell,,7.72,27,1357,01-Apr-2005
2137,mizuno_suisei,Easter Morning at Lara's Home,easy,1.45,13,1892,27-Mar-2005
2138,Lumina Artis Coloris,Quest for Easter Eggs,,7.25,36,1859,27-Mar-2005
2139,Juttae,Easter '05,easy,8.21,20,1931,27-Mar-2005
2140,masha,Lara's Comeback,,7.21,15,2093,27-Mar-2005
2141,Horus,Corsica,easy,8.76,8,6443,27-Mar-2005
2142,Xspace,TR5 Test Level - Arena,easy,1.99,52,2102,25-Mar-2005
2143,MagPlus,Lara Croft and the Knights of Terafosia,challenging,9.60,61,3447,25-Mar-2005
2144,Xspace,Temple of Teeris,,1.78,21,1236,23-Mar-2005
2145,eRIC,Omegapolis,challenging,9.33,77,2857,22-Mar-2005
2146,triso50-12,Tioram's Manor,,6.97,28,1311,19-Mar-2005
2147,caj800,Raising Blocks,easy,0.60,9,1546,18-Mar-2005
2148,ggctuk,Tutankhamun's Tomb,,2.67,46,1788,18-Mar-2005
2149,Oxy,Day Castle,medium,9.18,72,3162,12-Mar-2005
2150,Greywolf,The Secret of Forests 3 - Fairie's Hole,,5.87,62,2011,11-Mar-2005
2151,Gerbil,The Very End of Set,,6.72,22,1264,03-Mar-2005
2152,Lukasz Croft,Temple of Creatures,,6.63,31,1411,02-Mar-2005
2153,Jedi Master,Legacy of the Gods - Bonus Pack 2,,9.72,80,3226,24-Feb-2005
2154,Turbo Pascal,Test Levels,,3.61,29,1522,23-Feb-2005
2155,trplayer,Secret of the Catacombs,,6.34,24,1250,22-Feb-2005
2156,David Rukawa,Mysteries of Australia,medium,6.84,17,2639,19-Feb-2005
2157,Lin Fu,The Forgotten Grave,easy,5.91,27,1284,14-Feb-2005
2158,TRFan,Happy Birthday Lara 2005,,3.57,24,1398,14-Feb-2005
2159,Agnes,Hell's Kitchen,,8.53,54,2314,07-Feb-2005
2160,TC14,The Quest of Gold 2 - The Gold Mine,medium,8.28,267,4507,07-Feb-2005
2161,Loch,Busting,,6.60,23,1458,07-Feb-2005
2162,Miss Kroft,Restless in Paris - Dawn in the Backyards,medium,8.93,45,4350,05-Feb-2005
2163,Tony Tomb,Isle of the Sun Part 2,easy,9.14,106,3466,03-Feb-2005
2164,TimJ,The Nightmare (Le Cauchemar),very challenging,8.05,32,1693,01-Feb-2005
2165,Anubis,Temple of Anubis,,6.34,52,1727,28-Jan-2005
2166,Danilo Rocha,Eye of Shiva,,8.10,39,1922,28-Jan-2005
2167,Beck,Test Levels,,3.04,32,1487,22-Jan-2005
2168,Camel,Lara's End,easy,2.66,16,1111,22-Jan-2005
2169,Slash,Run Down The Cliff,,4.10,25,1377,19-Jan-2005
2170,Camel,Cave Everlasting,easy,2.67,16,1126,17-Jan-2005
2171,Tradewinds,Tower Air,,3.59,14,1150,15-Jan-2005
2172,Oxy,Skeleton's Last Will,,8.55,36,1976,13-Jan-2005
2173,Amber Lion,The Opal Rose,,7.34,38,1627,12-Jan-2005
2174,Boris Samoilenko,TR5 Test Level - Paris,easy,3.65,52,2447,06-Jan-2005
2175,Harly Wuson,BtB2005 - The Underground City,medium,8.23,44,1986,01-Jan-2005
2176,uvavoo,BtB2005 - Palaces of Pharaoh Hepatitis,easy,7.12,25,1511,01-Jan-2005
2177,tombrdr,BtB2005 - Dwellers of the Abyss,challenging,8.66,33,1989,01-Jan-2005
2178,Tinka,BtB2005 - Operation Golden Star,challenging,7.38,31,1531,01-Jan-2005
2179,StormChaser,BtB2005 - Catacombs of Tisaria,easy,7.44,30,1714,01-Jan-2005
2180,staticon,BtB2005 - Another Catacomb,medium,7.76,26,1545,01-Jan-2005
2181,Miss Kroft,BtB2005 - The Origins,medium,7.46,28,2002,01-Jan-2005
2182,MichaelP,BtB2005 - High and Low,challenging,7.76,34,1789,01-Jan-2005
2183,Marksdad,BtB2005 - Rapid Fall,challenging,6.54,24,1514,01-Jan-2005
2184,Idealist,BtB2005 - Through the Shadow of Death,challenging,8.84,36,2776,01-Jan-2005
2185,Horus,BtB2005 - Mourning Palace,challenging,8.74,29,2145,01-Jan-2005
2186,GMac,BtB2005 - Skellycombs,medium,8.11,29,2106,01-Jan-2005
2187,GeckoKid,BtB2005 - Desert Ruins and the Serpent Tower,medium,8.71,36,2519,01-Jan-2005
2188,eTux,BtB2005 - Pseudo Tomb,challenging,8.84,40,2158,01-Jan-2005
2189,eRIC,BtB2005 - The Red and the Blue,very challenging,8.68,39,2051,01-Jan-2005
2190,Dhama,BtB2005 - Quest for the Golden Beetle,medium,7.50,31,1745,01-Jan-2005
2191,Cuahiano Small,BtB2005 - Laguna,medium,7.20,29,1522,01-Jan-2005
2192,Bojrkraider,BtB2005 - Lara of Persia,medium,8.56,37,2218,01-Jan-2005
2193,David Rukawa,Terror Christmas,medium,5.84,31,1754,31-Dec-2004
2194,Piper,Temple Complex of Horus,,5.77,22,1358,31-Dec-2004
2195,Freddy de Boer,TR Crazy,,2.80,68,2335,31-Dec-2004
2196,Fred Reinsperger,Fire - London City,,3.79,18,1277,27-Dec-2004
2197,TC14,The Quest of Gold 1 - Canadian Forest,medium,7.80,267,5620,25-Dec-2004
2198,austriawing,Cold Crystals - Part 1,,6.42,31,1530,23-Dec-2004
2199,Daoine Sidhe,Hill House,medium,8.21,28,1765,23-Dec-2004
2200,Aza,The Usurper's Sword,,8.10,24,1915,23-Dec-2004
2201,Nils Bengfort,Catacombs at the Coast,,7.25,17,1314,21-Dec-2004
2202,L.Croft,LB Advent Calendar 2004 - Just in Time (Auf den letzten Druecker),medium,6.90,16,1353,21-Dec-2004
2203,Lukasz Croft,Titanic,,6.56,61,2775,20-Dec-2004
2204,Greywolf,The Secret of Forests 2 - Poppi Castle,,4.73,62,2055,19-Dec-2004
2205,illyaine,LB Advent Calendar 2004 - December 19th,,7.57,12,1514,19-Dec-2004
2206,Horus,LB Advent Calendar 2004 - December 17th,easy,8.40,6,2919,17-Dec-2004
2207,Tifa Nazah,LB Advent Calendar 2004 - Ice Palace,,6.65,17,1497,13-Dec-2004
2208,Steve,LB Advent Calendar 2004 - Lara in the Mountains,easy,7.24,46,2009,11-Dec-2004
2209,Ian Keildson,Tutenkamen's Dream,medium,5.43,17,2436,09-Dec-2004
2210,Miss Kroft,LB Advent Calendar 2004 - My Home Sweet Home,,7.93,35,2879,09-Dec-2004
2211,Merlin,The Call of Cthulhu,medium,7.28,23,1809,08-Dec-2004
2212,Agnes,LB Advent Calendar 2004 - City of Dwarves,medium,8.03,36,2310,08-Dec-2004
2213,BaGi,LB Advent Calendar 2004 - Santa Claus,easy,7.33,15,1435,06-Dec-2004
2214,Piper,Christmas Level,,4.94,15,1314,04-Dec-2004
2215,Tifa Nazah,LB Advent Calendar 2004 - Xmas Race,,6.00,88,2820,04-Dec-2004
2216,David Rukawa,Ghost Island (La Isla Fantasma),,5.83,65,1939,01-Dec-2004
2217,Agnes,LB Advent Calendar 2004 - Siberian Xmas,easy,7.42,33,1914,01-Dec-2004
2218,LarryB,Caitlyn's Castle,,6.78,18,1267,29-Nov-2004
2219,Greywolf,The Secret of Forests 1 - Acquacheta Waterfall,,4.89,62,2045,24-Nov-2004
2220,Pemon,Water Flow,,3.75,28,1378,22-Nov-2004
2221,Rainbow,Castle near the Lake,,3.07,17,1264,22-Nov-2004
2222,Elfy,Curse of Xian,,6.48,17,1233,21-Nov-2004
2223,Seifer Zero,Twin Crystals,,7.98,119,3909,21-Nov-2004
2224,David Rukawa,The Gen,,5.86,64,2178,19-Nov-2004
2225,Trix,The Lion sleeps Tonight,challenging,9.47,69,3696,15-Nov-2004
2226,Tony Tomb,Isle of the Sun Part 1,easy,8.59,55,2545,11-Nov-2004
2227,Lukasz Croft,Opera,,5.70,26,1708,08-Nov-2004
2228,StormChaser,Majopa Mines,medium,7.94,19,1518,07-Nov-2004
2229,Gerbil,The Vaults beneath the Nile,,7.81,19,1320,05-Nov-2004
2230,Bojrkraider,The Experiment - Intro,medium,8.20,262,8009,05-Nov-2004
2231,Schlaefer,The Pyramid of Cheops,,1.19,19,1264,03-Nov-2004
2232,Pemon,Another Wall,medium,4.83,10,1336,01-Nov-2004
2233,Sheevah,LB Advent Calendar 2004 - Jingle Bells,medium,7.88,27,1750,27-Oct-2004
2234,DOS,Lost Temple of Vaara: Revised,,5.40,15,1238,27-Oct-2004
2235,Croft Storm,Origins of Evil 2 - Dead Revelations,,4.98,20,1354,27-Oct-2004
2236,Nick Rowan,Test Levels,,2.38,28,1367,22-Oct-2004
2237,mattioz,Pyramid of the Scarab,,4.92,17,1244,21-Oct-2004
2238,mattioz,Temple of the Dead,,2.50,13,1183,09-Oct-2004
2239,Vinci,Test Levels,,4.23,41,1701,07-Oct-2004
2240,mizuno_suisei,Once in a Blue Moon,easy,4.83,18,1873,06-Oct-2004
2241,eRIC,Eastern Sanctuary,medium,8.61,29,2227,06-Oct-2004
2242,LePerk,Art History,,8.54,22,2193,05-Oct-2004
2243,Ruediger,The Voice that should not be,,7.32,29,1502,28-Sep-2004
2244,Tony Tomb,Caverns of the Dead,,8.38,32,1990,27-Sep-2004
2245,Agnes,Putoranaplateau Siberia,,8.24,57,2358,23-Sep-2004
2246,Lorane,Sam against Anubis,,9.13,56,2891,22-Sep-2004
2247,Seifer Zero,Mission Level B! - Raem's Temple,,6.30,26,1471,21-Sep-2004
2248,Qunai,Autumn,,7.98,16,1499,19-Sep-2004
2249,Pavo87,Star of Egypt,,3.67,18,1276,15-Sep-2004
2250,Seifer Zero,Rose Red,,6.08,19,1407,15-Sep-2004
2251,StormChaser,Adventure in Venice,,7.01,22,1701,15-Sep-2004
2252,xxclaudxx,Valley of Giza,easy,3.63,19,1182,14-Sep-2004
2253,Flyskater,Golden Scarab,,6.40,19,1251,13-Sep-2004
2254,TombRaiderFan,Search for the Hand of Rathmore,challenging,8.55,129,3618,13-Sep-2004
2255,masha,The Mystery of the Northern Star,,9.06,55,2948,07-Sep-2004
2256,Marksdad,The Hand of Sirius - The Legacy,,7.37,48,1869,07-Sep-2004
2257,austriawing,Lara's Awakening,,5.75,97,2716,06-Sep-2004
2258,KingOfTheValleys,The Jumps'n'Runs of Sara Droft (Demo),,4.96,33,1422,06-Sep-2004
2259,Lukasz Croft,Monstrum 3,,5.48,29,1636,04-Sep-2004
2260,illyaine,Land of the Rising Sun,,9.07,41,2438,04-Sep-2004
2261,mizuno_suisei,Ebeny's Birthday Party,easy,3.75,20,1707,04-Sep-2004
2262,Oxy,Save two Baby Dragons,,8.77,29,2403,03-Sep-2004
2263,Jedi Master,Legacy of the Gods - Bonus Pack 1,,9.53,92,3672,01-Sep-2004
2264,Richard Lawther,Underworld UB2 - Ghost Train at Castle Orr,medium,9.84,44,5041,01-Sep-2004
2265,Raider X,Jungle Ruins,medium,9.13,72,4374,26-Aug-2004
2266,GMac,Jungle Ruins,medium,9.13,72,4374,26-Aug-2004
2267,BaGi,Hurry Up,,5.37,21,1374,25-Aug-2004
2268,Merlin,The Lost Ark,easy,6.59,9,1665,23-Aug-2004
2269,Gary,Searching of the Artefact of the Dragon,,7.19,19,1243,22-Aug-2004
2270,SilentViper,Caribbean Disaster 7/8,,7.25,38,1808,20-Aug-2004
2271,Tony Tomb,Passage to Mu 1/2,,7.93,42,2190,19-Aug-2004
2272,Gold Dragon,The Castle of Training,medium,7.09,10,1990,18-Aug-2004
2273,Agnes,Lara and the Horse,,7.23,34,2874,17-Aug-2004
2274,Richard Ba,The lost Temple of Atlantis,easy,6.56,19,1798,16-Aug-2004
2275,Skateboard Kid,TR5 Test Level - Floodtest 2,easy,2.60,52,1551,15-Aug-2004
2276,Skateboard Kid,TR5 Test Level - Floodtest,easy,1.43,52,1552,13-Aug-2004
2277,Morgoth,The Sacrifice to Horus,,8.88,21,2013,13-Aug-2004
2278,Momo,In the Underground of Louvre,,6.68,26,1483,10-Aug-2004
2279,Spiddle & Picasso,Devil's House,easy,7.34,26,1450,10-Aug-2004
2280,Sakul,Sakul House,easy,5.83,37,1657,09-Aug-2004
2281,Amber Lion,The Sapphire Rose,,7.80,30,1753,09-Aug-2004
2282,Trey,City of Marostica (Demo),,7.25,23,1390,06-Aug-2004
2283,Mikel,The Ruins (Die Ruinen),,3.01,15,1186,06-Aug-2004
2284,Gerbil,Valley of the Kings / Tomb of Achnaton,easy,7.14,34,1831,05-Aug-2004
2285,Sweet,The Mystery of Eden 3,,9.11,191,5053,02-Aug-2004
2286,Skateboard Kid,TR5 Test Level - Deep Sea Dive Demo,easy,5.05,52,1787,01-Aug-2004
2287,Dan the Jazzman,Titan Express,easy,7.57,21,2665,29-Jul-2004
2288,mash,Virtual Museum,,3.79,43,2062,26-Jul-2004
2289,Courtney Love,"Australia, East Atoll",,1.77,45,1617,21-Jul-2004
2290,austriawing,Lara's House in Paris,easy,3.92,20,1646,20-Jul-2004
2291,LePerk,Let's get it on,,7.08,24,2063,20-Jul-2004
2292,Tabsdad,Out of the Tombs,,7.83,20,1431,18-Jul-2004
2293,StormChaser,Dragon's Lair,,7.92,16,1370,17-Jul-2004
2294,Gerbil,Colloseum 2,,5.66,21,1319,15-Jul-2004
2295,Horus,Fragments of the Core,challenging,9.57,105,5689,12-Jul-2004
2296,TimJ,The Quest for the Stargate,easy,5.67,18,1326,08-Jul-2004
2297,Rutabaga,La Ville (The City),easy,6.16,23,1337,08-Jul-2004
2298,Bibi Phoque,The Ring,medium,8.80,24,3695,04-Jul-2004
2299,mash,The Rat City,,7.27,42,1792,30-Jun-2004
2300,Vinci,Lara in Gold,medium,3.96,14,2464,29-Jun-2004
2301,Thierry  Stoorne,Lara at the Movies - 12 Monkeys,challenging,8.41,302,6944,25-Jun-2004
2302,Raider X,Lara at the Movies - Indiana Jones - Temple of Doom,medium,9.12,302,7382,25-Jun-2004
2303,Titak,Lara at the Movies - Stargate,challenging,9.66,302,9048,25-Jun-2004
2304,Emoo,Lara at the Movies - Hound of the Baskervilles,medium,8.18,302,6288,25-Jun-2004
2305,EssGee,Lara at the Movies - Star Wars Episode 1,challenging,9.21,302,7155,25-Jun-2004
2306,MichaelP,Lara at the Movies - The Movie Theatre,challenging,8.76,302,7654,25-Jun-2004
2307,Cowboy,Lara at the Movies - Pirates of the Caribbean,challenging,9.33,302,7495,25-Jun-2004
2308,Codo,Lara at the Movies - Alien Resurrection,medium,9.62,302,7880,25-Jun-2004
2309,Josep Borrut,Lara at the Movies - Blood from the Mummy's Tomb,challenging,9.18,302,6864,25-Jun-2004
2310,GMac,Lara at the Movies - Jurassic Park,challenging,8.74,302,7003,25-Jun-2004
2311,eTux,Lara at the Movies - The Blair Witch Project,medium,9.10,302,7471,25-Jun-2004
2312,tombrdr,Lara at the Movies - Psycho,medium,9.24,302,7369,25-Jun-2004
2313,tombrdr,Lara at the Movies - Rebecca,medium,8.93,302,7567,25-Jun-2004
2314,Psiko,Lara at the Movies - The Treasure Island,easy,7.59,302,6934,25-Jun-2004
2315,Ma.ximo,Prise au Piege (Trapped),,7.97,19,1546,24-Jun-2004
2316,Morgoth,The Falls of Nefertiti,,7.33,22,1394,21-Jun-2004
2317,Cory Smith,The Ultimate Search - Part 1,,5.63,17,1311,18-Jun-2004
2318,Sternenfeuer,Lost in Russia,,7.68,21,1520,13-Jun-2004
2319,Bojrkraider,The Experiment 2 - Alpian Caves,,9.50,262,6459,08-Jun-2004
2320,Mikki,Codice Ammer,,7.05,38,1589,06-Jun-2004
2321,Agnes,Port Wladorsk,,8.11,32,1912,01-Jun-2004
2322,Vinci,End to Bonus Level,easy,2.13,28,1542,30-May-2004
2323,Dhama,Tomb of the Cybermen,,8.72,30,2113,30-May-2004
2324,Vinci,Bounce Pad Demo,challenging,7.10,9,1768,25-May-2004
2325,uvavoo,Planet of the Ancients 2,medium,9.28,43,2636,19-May-2004
