,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
1753,Bodlac,The Curse of Poseidon,,5.77,38,1431,06-Mar-2007
1754,TimJ,Following the Balloons to Another Party,challenging,8.16,39,2088,06-Mar-2007
1755,Slash,He's Always Beside You,,4.63,31,1532,02-Mar-2007
1756,Clara,Lara's Nightmare,,9.06,62,4304,12-Feb-2007
1757,Jor-Jor,The Caves of Xephradia,,5.17,22,1232,11-Feb-2007
1758,Leroy,Revenge of Osiris - Somewhere in Farplane,,7.96,249,5495,07-Feb-2007
1759,Thierry  Stoorne,Revenge of Osiris - Osiris' Spaceship,,9.33,249,5343,07-Feb-2007
1760,Pouco2,Revenge of Osiris - Osiris' Spaceship,,9.33,249,5343,07-Feb-2007
1761,Thierry  Stoorne,Revenge of Osiris - Secret of the Pyramid,,9.05,249,5668,07-Feb-2007
1762,Pouco2,Revenge of Osiris - Secret of the Pyramid,,9.05,249,5668,07-Feb-2007
1763,Thierry  Stoorne,Revenge of Osiris - Osiris' Pyramid,,8.90,249,5184,07-Feb-2007
1764,Leroy,Revenge of Osiris - The Lost Spirits & Farplane,,8.96,249,5117,07-Feb-2007
1765,TC14,Revenge of Osiris - Kingdom of the Dead,,9.34,249,5049,07-Feb-2007
1766,TC14,Revenge of Osiris - City of the Priests,,9.25,249,4874,07-Feb-2007
1767,TimJ,Revenge of Osiris - The Underground Lake & The Castle of Corpus Fatalis,challenging,8.84,249,4803,07-Feb-2007
1768,TC14,Revenge of Osiris - Lava of the Depths,,9.10,249,5027,07-Feb-2007
1769,Thierry  Stoorne,Revenge of Osiris - Return to the Temple,,8.55,249,4493,07-Feb-2007
1770,LeelooBastet,Revenge of Osiris - The Airport,,8.79,249,4476,07-Feb-2007
1771,Rapetou,Revenge of Osiris - The Church,,7.84,249,4439,07-Feb-2007
1772,Thierry  Stoorne,Revenge of Osiris - Parisian Streets,medium,8.51,249,5066,07-Feb-2007
1773,Koldo,Nepal Base (Demo) - African Caves,,6.47,41,1775,04-Feb-2007
1774,Necro,Necro's Domain 7 - Captive in the Ice,,6.86,25,1340,31-Jan-2007
1775,phms2010,Scottish Mysteries,medium,5.50,24,1339,30-Jan-2007
1776,Trix,Underworld UB4 - Taking Care of Business,medium,9.77,167,11284,29-Jan-2007
1777,Bojrkraider,Underworld UB4 - Taking Care of Business,medium,9.77,167,11284,29-Jan-2007
1778,Titak,Underworld UB4 - Taking Care of Business,medium,9.77,167,11284,29-Jan-2007
1779,Richard Lawther,Underworld UB4 - Taking Care of Business,medium,9.77,167,11284,29-Jan-2007
1780,Baslakor,The Skribblerz Stonez,,9.07,68,4183,21-Jan-2007
1781,Aza,The Skribblerz Stonez,,9.07,68,4183,21-Jan-2007
1782,GMac,The Skribblerz Stonez,,9.07,68,4183,21-Jan-2007
1783,Dhama,The Skribblerz Stonez,,9.07,68,4183,21-Jan-2007
1784,Zelda master,Tomb of Eternal Sadness (Demo),,3.40,22,1213,20-Jan-2007
1785,Nick,Evening in Rome,medium,8.10,22,2086,12-Jan-2007
1786,Marcos,Bye Bye Susej,,8.15,28,2194,12-Jan-2007
1787,Robert,Bike from the Guns,,2.50,12,1172,09-Jan-2007
1788,Lara Croft,Hagix 10th Anniversary,,6.92,45,1752,09-Jan-2007
1789,Martins,The Magic Garden,easy,6.38,44,1890,01-Jan-2007
1790,PaoloM,BtB2007 - Escape to St Paul's,medium,8.74,32,2177,01-Jan-2007
1791,Mikki,BtB2007 - An Adventure in the Night,medium,7.53,37,1860,01-Jan-2007
1792,staticon,BtB2007 - Hell Hath No Fury,medium,7.08,30,1621,01-Jan-2007
1793,mugs,BtB2007 - Key to the Mutant's Locker,medium,7.80,29,1873,01-Jan-2007
1794,squidshire,BtB2007 - Jobmond & Co,challenging,8.26,31,1607,01-Jan-2007
1795,TC14,BtB2007 - Another Metro Station,challenging,8.64,28,1914,01-Jan-2007
1796,Isis,BtB2007 - Lara and the Pit,medium,8.44,30,2024,01-Jan-2007
1797,Adngel,BtB2007 - The Escape,medium,7.59,29,1453,01-Jan-2007
1798,dennis16,BtB2007 - Docklands,easy,7.62,32,1700,01-Jan-2007
1799,TimJ,BtB2007 - Following a London Sect,challenging,8.98,32,2909,01-Jan-2007
1800,Bojrkraider,The Experiment 3/2 - Budapest,very challenging,9.74,262,9027,28-Dec-2006
1801,illyaine,Jade Empire,challenging,9.47,149,4860,25-Dec-2006
1802,illyaine,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1803,karlo002,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1804,Sweet,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1805,BaGi,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1806,illyaine,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1807,karlo002,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1808,Sweet,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1809,UFO,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1810,Miss Kroft,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1811,Codo,LB Advent Calendar 2006 - Nepal,,8.35,46,3878,24-Dec-2006
1812,Clara,LB Advent Calendar 2006 - Icy Christmas,,8.69,51,2167,22-Dec-2006
1813,Ma.ximo,Majestic City of Vilcabamba,,6.24,13,1453,21-Dec-2006
1814,Pedro,Roaming the Jungle,,7.41,27,1327,21-Dec-2006
1815,masha,LB Advent Calendar 2006 - December 19th Remake,easy,7.96,26,2663,19-Dec-2006
1816,illyaine,LB Advent Calendar 2006 - December 19th Remake,easy,7.96,26,2663,19-Dec-2006
1817,Michum,Spreehoefe,medium,8.01,42,2390,19-Dec-2006
1818,Colin Benson,Cathedral of the Black Goat,,7.16,18,1762,17-Dec-2006
1819,masha,LB Advent Calendar 2006 - Miracle of Snow,,9.03,52,2842,16-Dec-2006
1820,Samu,Catacombs of Rome,,7.73,15,1350,16-Dec-2006
1821,JMN,Eternal Mysteries,,9.12,155,4329,16-Dec-2006
1822,tombraiderluka,The Key of Temple of Darkness,,5.77,23,1279,16-Dec-2006
1823,eRIC,Andreas' Sword Part2,medium,9.49,79,3412,16-Dec-2006
1824,Agnes,LB Advent Calendar 2006 - Christmas for Everybody,easy,7.80,37,2001,13-Dec-2006
1825,Lumina Artis Coloris,LB Advent Calendar 2006 - Nikolaus von Myra,,8.55,52,2148,11-Dec-2006
1826,Eva,LB Advent Calendar 2006 - The Bell,,7.67,22,1660,09-Dec-2006
1827,zip_1,LB Advent Calendar 2006 - The Stolen Present,,7.13,20,1488,07-Dec-2006
1828,Sponge,LB Advent Calendar 2006 - Niklaus Day,easy,6.94,26,1990,06-Dec-2006
1829,uranos1,LB Advent Calendar 2006 - Christmas Train,medium,8.75,26,2488,05-Dec-2006
1830,Sweet,LB Advent Calendar 2006 - Winter Fairy Tale 3/4,medium,8.47,50,1955,02-Dec-2006
1831,BaGi,LB Advent Calendar 2006 - Winter Fairy Tale 1/2,medium,8.32,38,1877,01-Dec-2006
1832,Mr XY,Tibetan Winter,medium,8.40,26,2592,29-Nov-2006
1833,Harrys,Around the World in 80 days (Demo),easy,5.72,19,1393,26-Nov-2006
1834,Jirka008,Military Police Area Escape,,4.25,32,1409,24-Nov-2006
1835,Horus,Neon God,challenging,9.82,175,14507,24-Nov-2006
1836,eRIC,Andreas' Sword Part1,medium,9.01,46,3404,23-Nov-2006
1837,posyd,The Tears of Sun 1 - Phuket,easy,7.49,14,1544,21-Nov-2006
1838,Raildex,The Lost Artifact (full Version),easy,6.03,16,2389,14-Nov-2006
1839,Jirka008,Military Police Area,,3.83,24,1427,14-Nov-2006
1840,Marksdad,The Oppenheim Inheritance,,7.45,18,1388,05-Nov-2006
1841,Drakan,The Sacred Temple of Isis,,7.90,28,1773,01-Nov-2006
1842,Raildex,The Lost Artifact (Demo),easy,4.60,14,1205,29-Oct-2006
1843,Harrys,The Espana Secret (Full Version),,7.02,44,1659,27-Oct-2006
1844,Jirka008,Arena,,3.45,18,1339,21-Oct-2006
1845,TombRaiderFan,The Lost Soul of Maria,,9.36,209,4728,21-Oct-2006
1846,teme9,The House on a Hill,medium,8.43,20,3004,19-Oct-2006
1847,Igor,Return to the Opera,medium,7.96,9,2593,08-Oct-2006
1848,Bedazzled,Baptism of Fire 1 - The Scroll of Destiny,,7.98,53,1107,02-Oct-2006
1849,Baslakor,Baptism of Fire 1 - Assyrian Secrets,easy,7.73,53,1176,02-Oct-2006
1850,Ampersand,Baptism of Fire 1 - The Buried Temple,easy,7.73,53,1214,02-Oct-2006
1851,Gravastars,Adventure in Candy Land,,6.25,30,1476,02-Oct-2006
1852,Daoine Sidhe,Tomb Raider I revised,,9.44,150,17212,30-Sep-2006
1853,Alpha,The Element of Chaos,medium,7.47,78,2635,28-Sep-2006
1854,Delta,The Element of Chaos,medium,7.47,78,2635,28-Sep-2006
1855,dennis16,The Inca Trail,,7.95,25,1755,25-Sep-2006
1856,TC14,The Quest of Gold 14-17 - Saint Francis Levels,very challenging,9.58,267,5030,21-Sep-2006
1857,Harrys,The Espana Secret,,5.85,17,1170,14-Sep-2006
1858,kutuup,Centralia,,5.98,24,1230,13-Sep-2006
1859,squidshire,The Unremarkable Egyptian Pillar,medium,7.88,25,1378,10-Sep-2006
1860,Koldo,The Lost Temple of Madubu Gorge,,6.83,61,2024,07-Sep-2006
1861,dantheraider,The Trail of the Unknown - The Lost Temple (Demo),,5.36,21,1247,07-Sep-2006
1862,Razyel,Harp of Sailor Mercury,,7.66,27,1494,05-Sep-2006
1863,ColeMoles,The Crystal 1 - Lara's House,,4.17,27,1555,05-Sep-2006
1864,Cory Smith,The Ultimate Search 2 - The Escape,,5.48,15,1223,05-Sep-2006
1865,kutuup,Halls of Glass,,4.88,14,1116,05-Sep-2006
1866,Kill Bill,The Lost Artifacts 1+2,easy,1.47,19,1374,02-Sep-2006
1867,Ma.ximo,The Caves (Remake),,5.76,12,1519,31-Aug-2006
1868,zip_1,The Last Trident,,7.34,22,1427,31-Aug-2006
1869,Roli,Tomb Raider Revelations 2 - The Golden Mask,,8.50,90,3578,30-Aug-2006
1870,caj800,The Golden Dragon 1 - The Keep,easy,3.60,9,1713,26-Aug-2006
1871,Boris Samoilenko,Lara Croft Returns - Episode 3: In the North,,8.52,222,4458,26-Aug-2006
1872,MD,Crystal of Anubis (Demo),easy,7.10,31,1480,25-Aug-2006
1873,Stitch,The Forgotten Latin Realms 1+2,,7.54,29,1459,23-Aug-2006
1874,Mr XY,Tomb of Qualopec (Remake),challenging,7.14,20,1978,21-Aug-2006
1875,Treeble,Community Level Deux,,7.53,21,3016,18-Aug-2006
1876,staticon,Community Level Deux,,7.53,21,3016,18-Aug-2006
1877,TombRaiderFan,Community Level Deux,,7.53,21,3016,18-Aug-2006
1878,Sk8ter Punk,Community Level Deux,,7.53,21,3016,18-Aug-2006
1879,Quik Silver,Community Level Deux,,7.53,21,3016,18-Aug-2006
1880,Bojrkraider,Community Level Deux,,7.53,21,3016,18-Aug-2006
1881,Netslider,Community Level Deux,,7.53,21,3016,18-Aug-2006
